aj,saja
ajk,ajak
alm,almarhum
almt,alamat
alaamat,alamat
ank,anak
ap,apa
aq,saya
aqu,aku
asek,asyik
asik,asyik
ati2,hati-hati
hati2,hati-hati
ato,atau
atw,atau
awl,awal
ayang,sayang
ayok,ayo
ayuk,ayo
ayukz,ayo
bag,bagian
bales,balas
bantuin,bantu
bbrp,beberapa
benr,benar
bg,abang
bgg,bingung
bgian,bagian
bgmn,bagaimana
bgs,bagus
bgt,banget
bgtu,begitu
bgus,bagus
nice,bagus
bhs,bahasa
bhsa,bahasa
bju,baju
bk,buka
bka,buka
bkn,bukan
bkr,bakar
blan,bulan
bleh,boleh
blh,boleh
bli,beli
blkg,belakang
blkng,belakang
blm,belum
bln,bulan
blom,belum
bls,balas
blum,belum
bnar,benar
bner,benar
bngt,banget
bnr,benar
bntr,sebentar
bnyk,banyak
bodo,bodoh
boong,bohong
bosen,bosan
bosenin,bosan
bp,bapak
bpk,bapak
bokap,bapak
bkap,bapak
nyokap,ibu
nykap,ibu
brg,barring
brng,barang
brp,berapa
brpa,berapa
bs,bisa
bsa,bisa
bsar,besar
bsh,basah
bsk,besok
bsn,bosan
bsok,besok
bsr,besar
bw,bawa
bwt,buat
byk,banyak
cape,capek
cbt,cabut
ce,cewek
cepet,cepat
cew,cewek
ckp,cukup
clana,celana
cnth,contoh
cntik,cantik
cntk,cantik
co,cowok
cp,siapa
cpt,cepat
cr,cara
cth,contoh
cuekin,cuek
da,ada
dah,sudah
udh,sudah
udha,sudah
dg,dengan
dgn,dengan
dikit,sedikit
dj,di jalan
dkat,dekat
dket,dekat
dkt,dekat
dlam,dalam
dll,dan lain-lain
dlm,dalam
dn,dan
dng,dengan
dosn,dosen
dpn,depan
dpt,dapat
dsb,dan sebagainya
dsn,dosen
dtg,datang
dtng,datang
elo,kamu
elu,kamu
elu ,kamu
emg,memang
emng,memang
engga',tidak
ente,kamu
fak,fakultas
fikir,pikir
g,tidak
ga,tidak
gak,tidak
gapapa,tidak apa-apa
gd,gede
gde,gede
ggu,ganggu
gilak,gila
gini,begini
gitchu,gitu
gitu,begitu
gk,tidak
gmn,bagaimana
gmpng,gampang
gn,begini
gnggu,ganggu
gpp,tidak apa-apa
gt,begitu
gua,saya
guwe,gue
gw,saya
gy,gaya
haha,tertawa
hahaha,tawa
hapal,hafal
hbgn,hubungan
hbis,habis
hbngn,hubungan
hbs,habis
hbt,hebat
hee,senyum
hehe,he
hehehe,senyum
hihi,tawa
hihihi,tawa
hiks,sedih
hr,hari
hrf,huruf
hrg,harga
hri,hari
hsil,hasil
hsl,hasil
ht2,hati-hati
hub,hubungan
j,aja
ja,saja
jd,jadi
jg,juga
jgan,jangan
jgn,jangan
jk,jika
jl,jalan
jlan,jalan
jlek,jelek
jln,jalan
jm,jam
jml,jumlah
jmlh,jumlah
jmt,jumat
jngn,jangan
jrg,jarang
jrng,jarang
ju2r,jujur
jur,jurusan
jursn,jurusan
jwb,jawab
kacian,kasihan
kaco,kacau
kagak,tidak
kalo,kalau
karisma,karismatik
kasian,kasihan
katrok,kampungan
kcl,kecil
kdg,kadang
kdng,kadang
kecian,kasihan
kesian,kasihan
kharisma,karisma
kharismatik,karismatik
kl,kalau
klmpok,kelompok
klo,kalau
km,kamu
kmnangan,menang
kmrn,kemarin
knp,kenapa
kongkrit,kongkret
kpn,kapan
krg ,kurang
krm,kirim
krn,karena
krng,kurang
ktawa,ketawa
kul,kuliah
kulyh,kuliah
ky,seperti
lap,laporan
laper,lapar
lbh,lebih
lbih,lebih
lg,lagi
lht,lihat
liat,lihat
lk,laki-laki
lo,kamu
lol ,tawa
lom,belum
lp,lupa
lpa,lupa
lpr,lapar
lu,kamu
lum ,belum
maap,maaf
maba,mahasiswa baru
makacih,terima kasih
makasi,terima kasih
makasih,terima kasih
males,malas
malming,malam minggu
min,minimal
masi,masih
mcem,macam
mcm,macam
mdh,mudah
met,selamat
mg,semoga
mggu,minggu
mgk,mungkin
mgkn,mungkin
mgnggu,ganggu
mgu,minggu
mhs,mahasiswa
mhsw,mahasiswa
mkn,makan
mks,terima kasih
mksd,maksud
mksh,terima kasih
mlm,malam
mls,malas
mlu,malu
mnang,menang
mngkn,mungkin
mnrt,menurut
mnurut,menurut
mo,mau
mrh,marah
msh,masih
msk,masuk
mslh,masalah
msuk,masuk
mudh,mudah
mw,mau
napa,kenapa
ndak,tidak
ngak,tidak
ngalah,mengalah
ngapa,mengapa
ngapain,sedang apa
ngebosenin,bosan
ngga,tidak
nggak,tidak
ngikut,ikut
ngurus,mengurus
ngurusin,urus
ni,ini
nnt,nanti
nnti,nanti
np,now playing
nt,ente
nti,nanti
ntr,sebentar
nulis,tulis
nunggu,menunggu
ny,nya
nyimak,simak
org,orang
orng,orang
pa,apa
pd,pada
pdhl,padahal
pengen,ingin
pg,pagi
pingin,ingin
pinter,pintar
pk,penjahat kelamin
pke,pakai
pkl,pukul
plg,paling
plh,pilih
pny,punya
psg,pasang
psng,pasang
pusng,pusing
py,punya
q,saya
qm,kamu
rbu,rabu
rmh,rumah
sbg,sebagai
sbgn,sebagian
sbntr,sebentar
sbt,sabtu
scr,secara
scra,secara
sdh,sudah
sdkt,sedikit
sdr,saudara
selaen,selain
sem,semester
sempet,sempat
seneng,senang
sgl,segala
sgt,sangat
sht,sehat
sj,saja
skit,sakit
sklh,sekolah
skolah,sekolah
skr,sekarang
skrg,sekarang
skt,sakit
skul,sekolah
slamat,selamat
slasa,selasa
slg,saling
sll,selalu
sllu,selalu
slmt,selamat
slng,saling
slsa,selasa
slse,selesai
slu,selalu
sm,sama
ampe,sampai
sampe,sampai
smg,semoga
smngt,semangat
smp,sampai
smpai,sampai
smpe,sampai
smt,semester
smtr,semester
smua,semua
smw,semua
snang,senang
sndri,sendiri
snen,senin
sneng,senang
sng,senang
sngt,sangat
snin,senin
snyum,senyum
sono ,sana
sp,siapa
spa,siapa
sprti,seperti
spt,seperti
spti,seperti
spy,supaya
srt,surat
ssh,susah
sumpe,sumpah
surt,surat
sush,susah
sy,saya
sya,saya
syp,siapa
t4,tempat
tauladan,teladan
tbh,tubuh
td,tadi
tdi,tadi
tdk,tidak
tdr,tidur
tgas,tugas
tgl,tanggal
tgs,tugas
thn,tahun
thx,terima kasih
tnx,terima kasih
ti2,hati-hati
tidk,tidak
tinggl,tinggal
titi,hati-hati
tlg,tolong
tlng,tolong
tmn,teman
tmpt,tempat
tnggl,tanggal
tnp,tanpa
tny,tanya
tnya,tanya
toladan,teladan
tp,tapi
trims,terima kasih
trs,terus
trus,terus
ttp,tetap
ttp ,tetap
tu,itu
tu2p,tutup
tugs,tugas
tuk,untuk
tw,tahu
uda,sudah
udh,sudah
utk,untuk
ntuk,untuk
wkwkwk,tawa
wnt,wanita
wrn,warna
wrna,warna
color,warna
colour,warna
white,putih
grey,abu
brown,coklat
blue,biru
x,kali
xixixi,tertawa
y,kenapa
yg,yang
yng,yang
yukz,ayo
yups,ya
z,aja
7an,tujuan
smpt,sempat
wkwk,tertawa
ak,saya
yap,iya
doi,dia
5f,maaf
mav,maaf
mf,maaf
wlpn,walaupun
walo,walau
se7,setuju
sprt,seperti
nntn,nonton
mna,mana
mn,mana
@,di
ababil,abg labil
abis,habis
acc,accord
ad,ada
adlah,adalah
adlh,adalah
adoh,aduh
afaik,as far as i know
aha,tertawa
ahaha,haha
aing,saya
aja,saja
ajep-ajep,dunia gemerlap
ajj,saja
aka,dikenal juga sebagai
akika,aku
akko,aku
akkoh,aku
akku,aku
akuwh,aku
akyu,aku
alay,norak
aljasa,asal jadi saja
alow,halo
ama,sama
ambilin,ambilkan
ambl,ambil
ancur,hancur
anjir,anjing
anjrit,anjing
anter,antar
ap2,apa-apa
apaan,apa
apasih,apa sih
ape,apa
apes,sial
aplot,unggah
aps,apa
apva,apa
aquwh,aku
asap,sesegera mungkin
asbun,asal bunyi
aseek,asyik
aseekk,asyik
asekk,asyik
aseknya,asyiknya
asem,asam
asoy,asyik
aspal,asli tetapi palsu
astrojim,astagfirullahaladzim
astul,asal tulis
ath,kalau begitu
atuh,kalau begitu
au ah,tidak mau tahu
ava,avatar
awak,saya
aws,awas
ay,sayang
ayank,sayang
b4,sebelum
bacot,banyak bicara
bakalan,akan
bandes,bantuan desa
bangdes,pembangunan desa
bangedh,banget
bangkotan,tua
banpol,bantuan polisi
banpres,bantuan presiden
banpur,bantuan tempur
bansarkas,bantuan sarana kesehatan
basbang,basi
"bazis,""badan amal,zakat,infak,dan sedekah"""
bcanda,bercanda
bcoz,karena
bdg,bandung
beb,sayang
begajulan,nakal
bejibun,banyak
beliin,belikan
belom,belum
bencong,banci
bener,benar
bentar,sebentar
ber2,berdua
ber3,bertiga
berdikari,berdiri di atas kaki sendiri
beresin,membereskan
bet,banget
bete,bosan
beti,beda tipis
beud,banget
beut,banget
bgd,banget
bhubu,tidur
bijimane,bagaimana
bimbuluh,bimbingan dan penyuluhan
bintal,bimbingan mental
bisi,kalau-kalau
bkl,akan
bknnya,bukannya
bl,beli
blegug,bodoh
blg,bilang
bnchi,benci
bnci,benci
bngung,bingung
bnran,yang benar
